Название,Адрес,Район,классификация,Чек,Описание,Метро,_sheet_row_number
Канатный цех завода «Красный гвоздильщик»,"25-я линия В.О, 6к1",Васильевский остров,"музей, архитектура",1000Р,"Пространство в историческом промышленном здании — редкий пример восстановленного конструктивизма 1930-х годов. Сегодня корпус принадлежит ВШЭ, но попасть внутрь можно с экскурсией. Внутри — учебные классы и мастерская Якова Чернихова. Подлинных вещей здесь немного, но сама экскурсия погружает в архитектуру будущего, какой её видел Чернихов, почти фантастическую. Завершается маршрут выходом на смотровую площадку — редкая возможность посмотреть на город с неожиданного ракурса.",Горный институт,74
Геологический музей,"Средний пр. В.О., 74",Васильевский остров,музей,750₽,"ЦНИГР музей — один из крупнейших естественноисторических музеев мира, где масштаб ощущается буквально с первых залов. Коллекционный фонд насчитывает около миллиона единиц хранения, а в экспозиции на площади 3750 м² представлено более 80 000 образцов минералов, горных пород, руд, а также ископаемой фауны и флоры.",Горный институт,75
Музей трамваев (ГЭТ),"Средний пр. В.О., 77И",Васильевский остров,музей,"Экскурсия - 570₽, поездка после экскурсии - 400₽","Здесь собраны исторические вагоны Ленинграда и Петербурга: от старых деревянных трамваев до более поздних моделей, которые ещё недавно ходили по улицам города. Даже если вы не фанат техники, это работает как машина времени — заходишь внутрь и сразу представляешь, каким был город раньше",Горный институт,76
Центр Курехина,"Средний пр. В.О., 93",Васильевский остров,"музей, неформальный",зависит от мероприятия,"Культурная площадка, названная в честь авангардного музыканта Сергея Курёхина. Здесь проходят концерты, выставки, лекции и самые неожиданные события, которые не всегда укладываются в привычные жанры. Это место точно не для всех: если вам ближе классические музеи и понятные выставки, впечатления могут быть неоднозначными. Но если интересуетесь современным искусством, экспериментальной музыкой и культурой на стыке разных направлений, заглянуть сюда определённо стоит.",Горный институт,77
Брусницын культурный квартал,"Кожевенная линия, 30",Васильевский остров,неформальный,бесплатно (вход),"Арт-кластер на территории бывшего кожевенного завода, где легко провести несколько часов. Здесь работают галереи, мастерские, кофейни и проходят выставки, а по всей территории можно встретить стрит-арт. В тёплое время года приятно занять лежак с видом на Финский залив, сыграть в настольный теннис или просто гулять вдоль воды, а зимой главной точкой притяжения становится каток.",Горный институт,78
Стрит-арт хранение,"Кожевенная линия, 40Е,
2-Й этаж, домофон 19#",Васильевский остров,"неформальный, музей",от 800₽,"Это единственная в России институция, которая занимается коллекционированием, изучением и сохранением работ художников «уличной волны». Сюда стоит заглянуть, чтобы увидеть стрит-арт вне городских заборов и фасадов, узнать больше о его истории и посмотреть на работы, которые в обычной городской среде могли бы давно исчезнуть. Отдельный бонус — экскурсоводы: видно, что они искренне увлечены темой, поэтому экскурсии получаются живыми, содержательными и действительно запоминающимися.",Горный институт,79
Доходный дом Смоленского кладбища,"17-я линия В.О., 70",Васильевский остров,архитектура,Бесплатно,"Скульптурно-мраморное и гранитное производство М. А. Кузнецова — один из самых любопытных домов у Смоленского кладбища. На фасаде сохранилась отметка уровня воды во время одного из петербургских наводнений, а любители кино могут узнать дом по кадрам из фильма «Брат». Обязательно загляните за входную дверь: в тамбуре можно увидеть редкое майоликовое панно.",Приморская,80
Смоленское лютеранское кладбище,"Набережная р. Смоленки, д. 27.",Васильевский остров,"неформальный, архитектура",Бесплатно,"Это старейший некрополь для иноверцев в Петербурге, где с XVIII века хоронили не только лютеран, но и католиков и других жителей города с европейскими корнями. Здесь можно увидеть старинные надгробия, следы утраченных эпох и понять, как город изначально был многонациональным. Интересны дореволюционные надгробия — с латинскими и немецкими надписями, тонкой гравировкой и символами, которые уже почти исчезли из современного города.

Здесь покоятся люди, чьи фамилии вы встречали в школьных учебниках — от Нобелей до семьи Капицы.",Приморская,81
Смоленское православное кладбище,"Камская ул., 24",Васильевский остров,"неформальный, архитектура",Бесплатно,"Смоленское кладбище —  настоящий «слоёный пирог» петербургской истории. Оно появилось ещё в первые годы строительства Петербурга и стало одним из главных мест захоронений города. Здесь можно увидеть старинные склепы, часовню Ксении Петербургской и почувствовать, как переплетаются разные эпохи — от петровских времён до современности.  Многие надгробья подвергались осквернения, а склепы — разорению",Приморская,82
Дома на курьих ножках,"Новосмоленская наб., 2-8",Васильевский остров,"архитектура, неформальный",Бесплатно,"Одно из самых необычных мест на Васильевском острове. Даже если архитектура вас обычно не интересует, на эти дома сложно не обратить внимание: огромные многоэтажки буквально стоят на высоких опорах, словно действительно выросли на курьих ножках. Их строили с учётом возможных наводнений, а рядом находится и самый длинный жилой дом Петербурга. Отличная локация, чтобы увидеть, каким футуристичным представляли город в советскую эпоху.",Приморская,83
